target,stop,horizon,trades,wins,losses,unresolved,win_rate,pf,expectancy,total,max_dd,profit_to_dd
350,120,60,27,9,18,0,0.3333333333333333,1.3076923076923077,26.666666666666668,720.0,1170.0,0.6153846153846154
350,100,10,27,8,19,0,0.2962962962962963,1.3014354066985645,23.333333333333332,630.0,990.0,0.6363636363636364
350,100,15,27,8,19,0,0.2962962962962963,1.3014354066985645,23.333333333333332,630.0,990.0,0.6363636363636364
350,100,20,27,8,19,0,0.2962962962962963,1.3014354066985645,23.333333333333332,630.0,990.0,0.6363636363636364
350,100,30,27,8,19,0,0.2962962962962963,1.3014354066985645,23.333333333333332,630.0,990.0,0.6363636363636364
350,100,45,27,8,19,0,0.2962962962962963,1.3014354066985645,23.333333333333332,630.0,990.0,0.6363636363636364
350,100,60,27,8,19,0,0.2962962962962963,1.3014354066985645,23.333333333333332,630.0,990.0,0.6363636363636364
350,200,20,27,12,15,0,0.4444444444444444,1.2952380952380953,34.44444444444444,930.0,1680.0,0.5535714285714286
350,200,30,27,12,15,0,0.4444444444444444,1.2952380952380953,34.44444444444444,930.0,1680.0,0.5535714285714286
350,200,45,27,12,15,0,0.4444444444444444,1.2952380952380953,34.44444444444444,930.0,1680.0,0.5535714285714286
350,200,60,27,12,15,0,0.4444444444444444,1.2952380952380953,34.44444444444444,930.0,1680.0,0.5535714285714286
600,150,30,27,7,20,0,0.25925925925925924,1.290625,34.44444444444444,930.0,1970.0,0.4720812182741117
600,150,45,27,7,20,0,0.25925925925925924,1.290625,34.44444444444444,930.0,1970.0,0.4720812182741117
600,150,60,27,7,20,0,0.25925925925925924,1.290625,34.44444444444444,930.0,1970.0,0.4720812182741117
500,180,20,27,9,18,0,0.3333333333333333,1.2894736842105263,36.666666666666664,990.0,1870.0,0.5294117647058824
500,180,30,27,9,18,0,0.3333333333333333,1.2894736842105263,36.666666666666664,990.0,1870.0,0.5294117647058824
500,180,45,27,9,18,0,0.3333333333333333,1.2894736842105263,36.666666666666664,990.0,1870.0,0.5294117647058824
500,180,60,27,9,18,0,0.3333333333333333,1.2894736842105263,36.666666666666664,990.0,1870.0,0.5294117647058824
550,200,30,27,9,18,0,0.3333333333333333,1.2857142857142858,40.0,1080.0,2070.0,0.5217391304347826
550,200,45,27,9,18,0,0.3333333333333333,1.2857142857142858,40.0,1080.0,2070.0,0.5217391304347826
550,200,60,27,9,18,0,0.3333333333333333,1.2857142857142858,40.0,1080.0,2070.0,0.5217391304347826
300,200,20,27,13,14,0,0.48148148148148145,1.282312925170068,30.74074074074074,830.0,1260.0,0.6587301587301587
300,200,30,27,13,14,0,0.48148148148148145,1.282312925170068,30.74074074074074,830.0,1260.0,0.6587301587301587
300,200,45,27,13,14,0,0.48148148148148145,1.282312925170068,30.74074074074074,830.0,1260.0,0.6587301587301587
300,200,60,27,13,14,0,0.48148148148148145,1.282312925170068,30.74074074074074,830.0,1260.0,0.6587301587301587
600,100,20,27,5,21,1,0.18518518518518517,1.277056277056277,23.703703703703702,640.0,1170.0,0.5470085470085471
500,100,10,27,6,21,0,0.2222222222222222,1.2727272727272727,23.333333333333332,630.0,1270.0,0.49606299212598426
500,100,15,27,6,21,0,0.2222222222222222,1.2727272727272727,23.333333333333332,630.0,1270.0,0.49606299212598426
500,100,20,27,6,21,0,0.2222222222222222,1.2727272727272727,23.333333333333332,630.0,1270.0,0.49606299212598426
500,100,30,27,6,21,0,0.2222222222222222,1.2727272727272727,23.333333333333332,630.0,1270.0,0.49606299212598426
500,100,45,27,6,21,0,0.2222222222222222,1.2727272727272727,23.333333333333332,630.0,1270.0,0.49606299212598426
500,100,60,27,6,21,0,0.2222222222222222,1.2727272727272727,23.333333333333332,630.0,1270.0,0.49606299212598426
250,120,10,27,11,16,0,0.4074074074074074,1.2692307692307692,20.74074074074074,560.0,780.0,0.717948717948718
250,120,15,27,11,16,0,0.4074074074074074,1.2692307692307692,20.74074074074074,560.0,780.0,0.717948717948718
250,120,20,27,11,16,0,0.4074074074074074,1.2692307692307692,20.74074074074074,560.0,780.0,0.717948717948718
250,120,30,27,11,16,0,0.4074074074074074,1.2692307692307692,20.74074074074074,560.0,780.0,0.717948717948718
250,120,45,27,11,16,0,0.4074074074074074,1.2692307692307692,20.74074074074074,560.0,780.0,0.717948717948718
